,open,high,low,close,volume,market_cap,volatility,growth,ma7,ma25,ma99,rsi,std,bb-mb,bb-ub,bb-lb,fr-0.236,fr-0.382,fr-0.5,fr-0.618,macd,signal,obv,label,date,sentiment,gf-index
785,164.24,174.81,162.14,169.85,767180.67853,18669811575.9153,0.2518737462327206,5.609999999999985,156.94285714285712,139.9464,157.9568686868687,56.85029122293689,12.36893978279426,137.72972222222222,162.46760178781074,112.99184265663372,158.52908,151.52546,145.865,140.20454,3.54767476806569,1.291664999316552,-5130964.396039993,4.219999999999999,2020-01-17,2,2.0
786,169.92,179.5,164.92,174.14,688783.17982,19173512822.9137,0.2526469997759033,4.219999999999999,161.48,141.80200000000002,157.89040404040404,58.11899751116069,13.73887175370214,138.54472222222222,166.0224657296265,111.06697871481794,161.80664,154.17667999999998,148.01,141.84332,4.175107419472539,1.8159272575267316,-4442181.216219992,-7.310000000000002,2020-01-18,1,2.0
787,174.1,178.05,161.66,166.79,624681.28604,18257853531.6232,0.2559465975715845,-7.310000000000002,164.37285714285713,143.47,157.76020202020203,55.25596114537127,14.517362683590132,139.23916666666665,168.27389203384692,110.20444129948638,161.80664,154.17667999999998,148.01,141.84332,4.368434090196018,2.280019408921147,-5066862.502259992,0.0800000000000125,2020-01-19,2,2.0
788,166.79,169.33,161.24,166.87,358092.8841,18276600991.9192,0.2559781656513349,0.0800000000000125,167.7,145.1216,157.61757575757576,55.28062390044763,15.224905838098223,139.91722222222222,170.36703389841867,109.46741054602576,161.80664,154.17667999999998,148.01,141.84332,4.487266949110847,2.681337143501092,-4708769.618159992,2.6299999999999955,2020-01-20,[1 2],2.0
789,166.86,170.32,164.8,169.49,308007.6353,18560711557.1284,0.2442000687569801,2.6299999999999955,168.25,146.8496,157.44353535353534,56.09581252636374,15.944796285077024,140.93833333333333,172.82792590348737,109.04874076317928,161.80664,154.17667999999998,148.01,141.84332,4.640133463297161,3.037481928918559,-4400761.982859992,-1.4099999999999966,2020-01-21,2,2.0
790,169.48,171.47,166.03,168.07,272240.90286,18409534609.4783,0.2257949415794164,-1.4099999999999966,168.48857142857145,148.44799999999998,157.3180808080808,55.531495370482645,16.223370647307082,142.2213888888889,174.66813018350305,109.77464759427474,162.5642,155.4029,149.615,143.8271,4.667094436335049,3.3337751120851933,-4673002.885719991,-5.259999999999991,2020-01-22,1,2.0
791,168.07,168.2,159.21,162.81,373414.34985,17824835899.2751,0.2150329297255379,-5.259999999999991,168.28857142857143,149.58599999999998,157.20030303030302,53.48161198464671,16.493827840333786,143.05555555555554,176.0432112362231,110.06789987488796,162.5642,155.4029,149.615,143.8271,4.4470312785767305,3.5361853241745638,-5046417.235569991,-0.3100000000000023,2020-01-23,[1 2],2.0
792,162.85,164.45,155.55,162.54,430013.19902,17840465424.1492,0.2109157963911242,-0.3100000000000023,167.24428571428572,150.824,157.05262626262626,53.377581372315326,16.600042876246874,144.01222222222222,177.21230797471597,110.81213646972849,162.5642,155.4029,149.615,143.8271,4.216372656127504,3.659855748166007,-5476430.434589991,-2.1599999999999966,2020-01-24,1,1.0
793,162.51,162.79,157.61,160.35,219921.65197,17649296255.9479,0.2118078194442695,-2.1599999999999966,165.2742857142857,152.0716,156.92747474747475,52.52518988436454,16.58958407205283,144.90555555555557,178.08472369966125,111.7263874114499,162.5642,155.4029,149.615,143.8271,3.907001561140447,3.704791350524996,-5696352.086559991,7.5,2020-01-25,1,1.0
794,160.36,168.08,159.41,167.86,251582.55758,18394952134.9465,0.2147875381940466,7.5,165.42714285714283,153.5552,156.8877777777778,55.05667672454784,16.726404339965715,146.04083333333335,179.49364201326478,112.58802465340192,162.5642,155.4029,149.615,143.8271,3.901822657575536,3.7406152245341846,-5444769.528979992,2.170000000000016,2020-01-26,[1 2],1.0
795,167.91,172.56,165.22,170.08,365894.81917,18709615890.943,0.2124033713126756,2.170000000000016,165.8857142857143,155.2708,156.83585858585857,55.77371183656867,17.016972078819524,147.0961111111111,181.1300552687501,113.06216695347206,162.5642,155.4029,149.615,143.8271,3.9444720402573807,3.77768010012022,-5078874.709809992,5.599999999999994,2020-01-27,2,2.0
796,170.04,176.2,170.03,175.64,473433.89609,19307396128.3943,0.209750464413286,5.599999999999994,166.7642857142857,156.9224,156.85262626262627,57.51961425101069,17.33208956163654,148.425,183.08917912327308,113.76082087672694,163.7102,156.32989999999998,150.365,144.4001,4.151286508173172,3.8456085379480287,-4605440.813719992,-1.8600000000000136,2020-01-28,1,2.0
797,175.58,178.45,173.33,173.72,317382.90161,19165292202.1875,0.2104964658960642,-1.8600000000000136,167.57142857142858,158.5032,156.87808080808082,56.72424446758055,17.458298693032127,149.70194444444445,184.61854183050872,114.7853470583802,163.7102,156.32989999999998,150.365,144.4001,4.207817909110247,3.91146478725025,-4922823.715329992,11.009999999999993,2020-01-29,[1 2],3.0
798,173.68,187.0,170.93,184.69,477721.6609,20223232963.5657,0.2146429279509782,11.009999999999993,170.69714285714284,160.476,157.10373737373737,59.97666194018784,17.878536113803726,151.3575,187.11457222760745,115.60042777239254,170.74004,162.10998,155.135,148.16002,4.627093348373421,4.041579071090826,-4445102.054429991,-4.719999999999999,2020-01-30,1,3.0
799,184.71,185.82,175.22,179.99,385596.53365,19729633077.607,0.2176583117169114,-4.719999999999999,173.19,161.9096,157.30181818181816,58.05392915306189,17.93685571712683,152.86888888888888,188.7426003231425,116.9951774546352,170.9076,162.3812,155.49,148.5988,4.746956061672961,4.169829433014851,-4830698.588079991,3.6599999999999966,2020-01-31,2,3.0
800,179.94,184.28,179.23,183.6,259370.12902,20116913727.9509,0.2178297162930358,3.6599999999999966,176.51142857142858,163.5416,157.3230303030303,59.09004762272733,18.05333944180824,154.46083333333334,190.5675122169498,118.35415444971687,171.12,162.725,155.94,149.155,4.93548503071213,4.309039541687083,-4571328.459059991,4.810000000000002,2020-02-01,1,3.0
801,183.63,193.43,179.1,188.44,552621.13619,20660936266.9287,0.2183603976773867,4.810000000000002,179.45142857142855,165.4504,157.41343434343435,60.43768318230674,18.33530676827796,156.13666666666666,192.80728020322255,119.46605313011074,173.985,165.0425,157.815,150.5875,5.2242863347019295,4.475448049507964,-4018707.322869991,1.210000000000008,2020-02-02,2,3.0
802,188.48,195.19,186.62,189.69,417175.95781,20800183238.206,0.215055662647444,1.210000000000008,182.25285714285715,167.5284,157.47343434343435,60.780877797455865,18.77154794636631,157.67361111111111,195.2167070038437,120.13051521837848,174.94,165.815,158.44,151.065,5.4566141100847005,4.653841878703735,-3601531.365059991,-0.8300000000000125,2020-02-03,2,3.0
803,189.74,191.6,184.69,188.91,366389.69686,20735478719.6275,0.2132668202363976,-0.8300000000000125,184.14857142857144,169.2912,157.54606060606062,60.444340318760695,18.926230078944368,159.26583333333332,197.1182934912221,121.41337317544458,174.94,165.815,158.44,151.065,5.564488524359319,4.819413996095658,-3967921.061919991,14.870000000000005,2020-02-04,1,3.0
804,188.91,207.61,188.19,203.78,550942.11417,22379510312.3186,0.2209643480568462,14.870000000000005,188.44285714285712,171.74720000000002,157.68060606060604,64.31836221735409,19.608712080235623,161.3386111111111,200.55603527158237,122.12118695063988,185.70476,174.52262,165.485,156.44738,6.159497274541195,5.063065501267574,-3416978.947749991,9.409999999999997,2020-02-05,2,2.0
805,203.78,216.33,201.02,213.19,608240.2233,23270983771.9064,0.2233368852509369,9.409999999999997,192.51428571428573,174.4132,157.98424242424244,66.45668161339509,20.71782266823037,163.62805555555556,205.0637008920163,122.19241021909482,192.894,180.338,170.19,160.042,6.938791462104945,5.404106585056186,-2808738.7244499912,10.170000000000016,2020-02-06,[1 2],3.0
806,213.16,225.0,213.14,223.33,629361.15466,24412375481.5021,0.2215340024375184,10.170000000000016,198.7057142857143,177.6032,158.399898989899,68.54591807549569,22.040760442283734,166.29861111111111,210.3801319956786,122.21709022654365,202.29532,189.28234,178.765,168.24766,7.88782988295452,5.855692639219519,-2179377.5697899912,-0.3100000000000023,2020-02-07,2,3.0
807,223.36,227.75,213.22,223.05,548551.87465,24461492838.843,0.2184179301572477,-0.3100000000000023,204.34142857142857,179.8996,158.8059595959596,68.42487217106124,23.289659676737685,168.76250000000002,215.3418193534754,122.18318064652463,202.29532,189.28234,178.765,168.24766,8.573446202157555,6.349829650662798,-2727929.4444399914,5.480000000000018,2020-02-08,2,3.0
808,223.01,230.65,222.86,228.49,350336.24399,25060056858.7598,0.2180682849948669,5.480000000000018,210.06285714285715,182.3832,159.26636363636365,69.50115693460467,24.559045642252787,171.38166666666666,220.49975795117223,122.2635753821611,206.51368,192.91816,181.93,170.94184,9.254114073490255,6.877881363904154,-2377593.2004499915,-5.640000000000015,2020-02-09,1,3.0
809,228.53,229.4,216.37,222.89,510415.49949,24508831902.9171,0.2215763832011867,-5.640000000000015,214.8057142857143,184.7304,159.6840404040404,67.0801303605812,25.21543332522536,173.81277777777777,224.2436444282285,123.38191112732704,207.073,193.8235,183.115,172.4065,9.508735154233392,7.356218416691289,-2888008.699939992,13.800000000000011,2020-02-10,2,3.0
810,222.89,239.15,218.17,236.69,595576.90276,25863852652.7983,0.2209629506464969,13.800000000000011,221.6314285714286,187.404,160.1989898989899,69.75095122570019,26.773877567530302,176.38333333333333,229.93108846839397,122.83557819827271,213.3378,198.8911,187.215,175.5389,10.145462994796787,7.863353794528652,-2292431.7971799914,29.05000000000001,2020-02-11,2,2.0
811,236.69,275.34,236.69,265.74,1038073.74782,29108513969.2886,0.2419166980434796,29.05000000000001,230.4828571428572,191.06800000000004,160.97737373737374,74.2707162482129,30.01254580530251,179.79833333333332,239.82342494393836,119.7732417227283,235.532,216.844,201.74,186.636,11.660496531303096,8.553743383033096,-1254358.0493599912,2.579999999999984,2020-02-12,2,3.0
812,265.74,277.69,256.08,268.32,1089679.1537,29407537084.1234,0.2398284810403494,2.579999999999984,238.35857142857145,195.12920000000005,161.75676767676768,74.61717545613362,32.6816024796216,183.34277777777777,248.70598273702095,117.97957281853456,237.50312,218.43844,203.03,187.62156,12.877730846525369,9.339922921849872,-164678.8956599913,16.810000000000002,2020-02-13,2,3.0
813,268.34,287.15,260.28,285.15,734944.32266,31179427622.664,0.2400559344865835,16.810000000000002,247.19,199.8604,162.75141414141413,76.72045841038067,35.882564040825415,187.4375,259.2026280816508,115.67237191834916,251.45628,230.61186,213.765,196.91814,14.3782365297385,10.255979941465986,570265.4270000086,-20.230000000000015,2020-02-14,1,3.0
814,285.11,288.41,261.86,264.88,860813.14274,29045044403.4449,0.2556124677918022,-20.230000000000015,253.1657142857143,203.676,163.5710101010101,69.57820784964588,37.3581397379957,190.77194444444444,265.48822392043587,116.05566496845304,251.45628,230.61186,213.765,196.91814,14.697863622890424,11.063595156270429,-290547.7157399914,-6.060000000000002,2020-02-15,2,3.0
815,264.91,274.0,237.41,258.85,1110118.46395,28518254585.3635,0.2564835421094056,-6.060000000000002,257.5028571428571,207.3072,164.3180808080808,67.65113988765103,38.083779720227945,194.0072222222222,270.1747816626781,117.83966278176632,251.73948,231.07026,214.365,197.65974,14.591981017351287,11.70511985828513,-1400666.1796899913,8.960000000000036,2020-02-16,2,3.0
816,258.89,268.77,242.0,267.85,1110371.39094,29231690264.404,0.2568028386771928,8.960000000000036,263.92571428571426,211.5088,165.11494949494949,68.97048506300419,39.11665241444073,197.37694444444443,275.6102492733259,119.14363961556298,251.73948,231.07026,214.365,197.65974,14.707516492691497,12.251010155449924,-290294.7887499912,14.710000000000036,2020-02-17,2,2.0
817,267.9,285.88,258.0,282.61,1115523.43992,30945457816.3784,0.2564571905705455,14.710000000000036,270.48571428571427,216.3116,166.1011111111111,70.96784799116467,40.49252973630442,201.23888888888888,282.2239483614977,120.25382941628004,255.6972,237.4764,222.75,208.0236,15.218551017448192,12.790563039449609,825228.6511700088,-24.19,2020-02-18,2,2.0
818,282.64,285.0,251.56,258.45,705973.72988,28514562065.0578,0.2458060562977239,-24.19,269.4442857142857,220.2356,166.8219191919192,64.02876398104976,41.11104640011197,203.81694444444443,286.03903724466835,121.5948516442205,255.6972,237.4764,222.75,208.0236,14.580604445615904,13.116025113298026,119254.92129000882,-1.4800000000000182,2020-02-19,2,2.0
819,258.44,264.33,245.34,256.96,972969.71691,28318879771.1218,0.2463610006903914,-1.4800000000000182,267.82142857142856,223.7996,167.5173737373737,63.63407586897792,41.52468548948978,206.3325,289.3818709789795,123.28312902102044,255.6972,237.4764,222.75,208.0236,13.869418598405048,13.253005746953846,-853714.7956199911,8.299999999999955,2020-02-20,[1 2],1.0
820,256.97,268.24,253.61,265.27,525827.8734,29162464509.1563,0.2457190635307495,8.299999999999955,264.9814285714286,227.6072,168.3289898989899,64.87610231352093,42.008879570619534,209.13972222222225,293.1574813634613,125.12196308098316,255.6972,237.4764,222.75,208.0236,13.474414382684216,13.293261862541186,-327886.9222199911,-3.75,2020-02-21,2,1.0
821,265.32,266.81,256.0,261.57,313062.52133,28807130265.5221,0.2462781606503603,-3.75,264.50857142857143,231.0444,169.1529292929293,63.87698659596271,42.33798641376868,211.6875,296.3634728275373,127.01152717246264,255.6972,237.4764,222.75,208.0236,12.887651766320856,13.219514572319309,-640949.4435499911,12.930000000000009,2020-02-22,1,1.0
822,261.55,275.68,261.02,274.48,444740.82883,30065188433.327,0.2486193732697273,12.930000000000009,266.74142857142857,235.0748,170.08333333333334,65.76893969960517,43.091627193776006,214.47472222222223,300.6579766097742,128.2914678346702,255.6972,237.4764,222.75,208.0236,12.776066567001664,13.138887662261553,-196208.6147199911,-8.980000000000018,2020-02-23,1,1.0
823,274.5,277.2,257.09,265.52,696591.72983,29131114036.5722,0.2465168211092179,-8.980000000000018,266.4085714285714,238.308,170.90858585858584,63.39853846369804,43.11185197409109,217.2172222222222,303.4409261704044,130.99351827404,255.6972,237.4764,222.75,208.0236,12.22792266104139,12.973257662039703,-892800.3445499911,-18.80000000000004,2020-02-24,[1 2],1.0
824,265.47,266.22,244.44,246.67,774791.01027,27223398194.7017,0.261075056698612,-18.80000000000004,261.2742857142857,240.9752,171.60020202020203,58.81180666059939,42.49633451608037,219.43388888888887,304.4265579210496,134.44121985672814,255.6972,237.4764,222.75,208.0236,10.95822539468736,12.606888158884733,-1667591.3548199912,-22.73999999999998,2020-02-25,2,1.0
825,246.67,250.32,215.66,223.93,1395879.41507,24794645345.3129,0.2822761938573412,-22.73999999999998,256.3428571428571,242.5884,172.08494949494948,53.96710759878477,41.62806170827938,220.94611111111112,304.2022345276699,137.68998769455237,255.6972,237.4764,222.75,208.0236,8.968299610049968,11.945326604551138,-3063470.7698899917,3.8100000000000014,2020-02-26,2,1.0
826,223.98,238.3,210.0,227.79,1273793.11658,24915636230.767,0.2819272207744498,3.8100000000000014,252.1757142857143,244.1624,172.62101010101014,54.61978730904821,40.63890820385079,222.605,303.8828164077016,141.3271835922984,255.6972,237.4764,222.75,208.0236,7.413858212073251,11.12142326046425,-1789677.6533099914,-0.9699999999999988,2020-02-27,2,1.0
827,227.73,234.67,214.01,226.76,1054994.92397,24919509264.9173,0.2792297149283301,-0.9699999999999988,246.67428571428567,245.6452,173.2851515151515,54.40805874343717,39.32699982403613,224.3813888888889,303.03538853696114,145.72738924081665,255.6972,237.4764,222.75,208.0236,6.0434635881903205,10.198157865505353,-2844672.5772799915,-9.549999999999985,2020-02-28,2,1.0
