,timestamp,open,high,low,close,volume,market_cap,volatility,growth,ma7,ma25,ma99,rsi,std,bb-mb,bb-ub,bb-lb,fr-0.236,fr-0.382,fr-0.5,fr-0.618,macd,signal,obv,label
98,2017-11-23,8233.03,8260.0,8000.0,8019.99,4093.952687,134227860479.0,0.27293606190597786,-213.04000000000087,8008.078571428572,7173.876,5241.703636363636,63.730100462029846,853.7687780027585,6767.193611111111,8474.731167116628,5059.656055105594,7566.54708,7167.24146,6844.514999999999,6521.78854,296.4867286797171,260.7341177297242,10510.662161999997,118.02999999999975
99,2017-11-24,8019.97,8369.0,7850.0,8138.0,4411.789112,137831976173.0,0.2721793936008581,118.02999999999975,8070.765714285714,7254.576,5280.6220202020195,64.32394728810296,862.7287256898423,6835.363055555556,8560.82050693524,5109.90560417587,7566.54708,7167.24146,6844.514999999999,6521.78854,296.5324889464164,267.2429124963955,14922.451273999997,561.0200000000004
100,2017-11-25,8138.99,8734.78,8090.0,8700.01,4292.623682,146820557006.0,0.27429617221259284,561.0200000000004,8204.775714285714,7344.056399999999,5327.002222222222,66.97280972491093,904.674016710645,6910.085277777778,8719.433311199067,5100.737244356488,7939.38672,7468.83164,7088.52,6708.20836,314.9367650316535,275.9145220482606,19215.074955999997,427.97999999999956
101,2017-11-26,8700.04,9350.0,8604.72,9128.02,4147.380237,155850742551.0,0.2767354239807109,427.97999999999956,8360.492857142857,7439.018,5377.386464646464,68.78810419798153,963.8251630776256,6996.281111111111,8923.931437266363,5068.63078495586,8266.38636,7733.34182,7302.525,6871.70818,343.0259137123121,288.1165932599063,23362.455192999998,522.0
102,2017-11-27,9128.0,9654.28,9112.04,9650.0,4521.625707,164019464090.0,0.27901999135088684,522.0,8565.921428571428,7544.2188,5433.585555555555,70.80124518774305,1043.0840403931422,7099.058333333333,9185.226414119617,5012.890252547049,8665.17908,8055.92546,7563.514999999999,7071.10454,382.2502258063787,305.23179917744676,27884.080899999997,246.79999999999927
103,2017-11-28,9650.0,9939.0,9570.5,9896.8,4917.210985,168056012886.0,0.27855003586103705,246.79999999999927,8819.820000000002,7655.489199999999,5492.9875757575755,71.68928141834931,1122.0926027200226,7209.638055555555,9453.8232609956,4965.45285011551,8853.734279999999,8208.44786,7686.914999999999,7165.38214,419.784782910443,326.05961440162787,32801.291885,-208.91000000000167
104,2017-11-29,9896.79,11300.03,8520.0,9687.88,13352.538715,165233728795.0,0.26498738192692495,-208.91000000000167,9031.528571428573,7748.720799999999,5550.036868686869,69.83984693651715,1155.3036810671592,7326.606111111111,9637.213473245429,5015.998748976793,8903.992839999999,8289.798579999999,7793.3949999999995,7296.99142,438.437872485174,346.4920249622726,19448.753169999996,151.07999999999993
105,2017-11-30,9687.88,10900.0,8850.8,9838.96,9389.574329,171020085600.0,0.26399262882911234,151.07999999999993,9291.381428571429,7848.4788,5607.864646464646,70.40768574290173,1193.6818824233123,7441.855277777777,9829.219042624401,5054.491512931152,8910.99024,8301.12488,7808.219999999999,7315.315119999999,455.1410358106832,366.24639057107447,28838.327498999995,945.9899999999998
106,2017-12-01,9837.0,10898.0,9380.0,10782.99,6134.923633,183444663767.0,0.27453681768688115,945.9899999999998,9669.237142857144,8001.393599999999,5673.187676767677,73.60198811490758,1285.7955126677248,7578.555833333334,10150.146858668784,5006.964807997884,9588.0394,8848.7903,8251.315,7653.8397,499.95634687905294,390.55729171797964,34973.251132,114.96999999999935
107,2017-12-02,10775.04,11190.0,10620.0,10890.01,4765.439757,185122039035.0,0.2725588278453344,114.96999999999935,9982.094285714285,8154.4324,5739.948585858586,73.9301209696134,1360.9509402208025,7720.810833333333,10442.712713774938,4998.908952891728,9669.80268,8914.92866,8304.825,7694.72134,535.6593514227516,416.9394843915745,39738.690889,262.71999999999935
